Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
53,0.00,,,13,0.16,1.00,0.00,sentiment analysis,,2016,,,,,,,6
45,4.33,2006,2012,13,0.41,4.36,0.00,language,,2006,,,,,,,0
34,0.00,,,11,0.13,1.00,0.00,classification,,2007,,,,,,,6
77,7.84,2009,2015,10,0.10,2.07,0.00,model,,2009,,,,,,,1
34,0.00,,,9,0.11,1.00,0.00,task analysis,,2020,,,,,,,3
8,0.00,,,9,0.14,1.00,0.00,attention,,2009,,,,,,,2
27,5.65,2012,2015,9,0.20,2.81,0.00,information,,2012,,,,,,,4
15,0.00,,,9,0.19,1.00,0.00,computational modeling,,2020,,,,,,,3
6,0.00,,,9,0.29,1.00,0.00,extraction,,2016,,,,,,,6
28,0.00,,,9,0.11,1.00,0.00,system,,2009,,,,,,,5
162,0.00,,,9,0.15,1.00,0.00,natural language processing,,2008,,,,,,,1
17,0.00,,,9,0.05,1.00,0.00,networks,,2013,,,,,,,8
15,0.00,,,8,0.09,1.00,0.00,recognition,,2005,,,,,,,0
6,0.00,,,8,0.07,1.00,0.00,algorithms,,2008,,,,,,,6
33,3.87,2012,2020,8,0.11,1.48,0.00,models,,2012,,,,,,,9
6,0.00,,,7,0.04,1.00,0.00,feature selection,,2016,,,,,,,6
2,0.00,,,7,0.01,1.00,0.00,support vector machine,,2016,,,,,,,6
2,0.00,,,7,0.01,1.00,0.00,lexicon,,2016,,,,,,,6
33,4.74,2021,2023,7,0.07,1.35,0.00,transfer learning,,2019,,,,,,,2
7,0.00,,,6,0.05,1.00,0.00,big data,,2019,,,,,,,7
2,0.00,,,6,0.01,1.00,0.00,stability,,2017,,,,,,,8
2,0.00,,,6,0.01,1.00,0.00,extreme learning machines,,2017,,,,,,,8
2,0.00,,,6,0.01,1.00,0.00,sample,,2017,,,,,,,8
19,4.36,2020,2021,6,0.07,1.33,0.00,neural network,,2020,,,,,,,5
11,3.12,2019,2020,6,0.15,1.53,0.00,features,,2019,,,,,,,11
24,3.20,2006,2016,6,0.07,1.23,0.00,algorithm,,2006,,,,,,,5
2,0.00,,,6,0.01,1.00,0.00,model selection,,2017,,,,,,,8
2,0.00,,,5,0.11,1.00,0.00,autism,,2020,,,,,,,2
8,0.00,,,5,0.05,1.00,0.00,convolutional neural networks,,2019,,,,,,,2
3,0.00,,,5,0.12,1.00,0.00,access control,,2015,,,,,,,7
7,0.00,,,5,0.05,1.00,0.00,social media,,2022,,,,,,,5
7,0.00,,,5,0.07,1.00,0.00,speech recognition,,2005,,,,,,,4
16,3.57,2013,2018,5,0.01,1.04,0.00,framework,,2013,,,,,,,6
10,3.23,2011,2017,5,0.06,1.22,0.00,management,,2011,,,,,,,10
2,0.00,,,5,0.00,1.00,0.00,regression,,2017,,,,,,,8
13,3.18,2012,2015,5,0.04,1.14,0.00,systems,,2012,,,,,,,10
24,0.00,,,5,0.06,1.00,0.00,artificial intelligence,,2007,,,,,,,1
3,0.00,,,4,0.08,1.00,0.00,hidden markov models,,2020,,,,,,,3
5,0.00,,,4,0.04,1.00,0.00,statistical machine translation,,2016,,,,,,,4
60,0.00,,,4,0.06,1.00,0.00,machine learning,,2014,,,,,,,4
9,4.45,2018,2020,4,0.05,1.27,0.00,word embeddings,,2018,,,,,,,4
2,0.00,,,4,0.01,1.00,0.00,facial expression,,2020,,,,,,,2
44,0.00,,,4,0.15,1.00,0.00,neural networks,,2017,,,,,,,1
3,0.00,,,4,0.09,1.00,0.00,affective computing,,2023,,,,,,,9
6,0.00,,,4,0.04,1.00,0.00,semantic similarity,,2014,,,,,,,7
3,0.00,,,4,0.09,1.00,0.00,aggregation operators,,2008,,,,,,,0
16,0.00,,,4,0.07,1.00,0.00,recurrent neural networks,,2015,,,,,,,2
5,0.00,,,3,0.04,1.00,0.00,emotion,,2021,,,,,,,11
1,0.00,,,3,0.00,1.00,0.00,biochemistry,,2006,,,,,,,12
13,0.00,,,3,0.07,1.00,0.00,data models,,2020,,,,,,,3
2,0.00,,,3,0.03,1.00,0.00,hmm,,2020,,,,,,,3
18,3.62,2020,2023,3,0.03,1.10,0.00,named entity recognition,,2016,,,,,,,8
1,0.00,,,3,0.00,1.00,0.00,biology,,2006,,,,,,,12
119,0.00,,,3,0.02,1.00,0.00,deep learning,,2017,,,,,,,0
5,0.00,,,3,0.03,1.00,0.00,knowledge,,2015,,,,,,,7
1,0.00,,,3,0.00,1.00,0.00,availability,,2005,,,,,,,0
5,3.10,2017,2018,3,0.02,1.07,0.00,segmentation,,2017,,,,,,,1
3,0.00,,,3,0.02,1.00,0.00,natural language understanding,,2023,,,,,,,7
9,0.00,,,3,0.02,1.00,0.00,machine translation,,2018,,,,,,,7
3,0.00,,,3,0.01,1.00,0.00,pretrained language models,,2023,,,,,,,5
6,0.00,,,3,0.05,1.00,0.00,corpus,,2022,,,,,,,5
4,0.00,,,3,0.02,1.00,0.00,deep,,2020,,,,,,,7
8,0.00,,,3,0.02,1.00,0.00,representation,,2006,,,,,,,0
1,0.00,,,3,0.03,1.00,0.00,animatronic modelling,,2008,,,,,,,0
1,0.00,,,3,0.00,1.00,0.00,action-based model,,2005,,,,,,,0
1,0.00,,,3,0.00,1.00,0.00,cardinality,,2008,,,,,,,0
19,0.00,,,3,0.01,1.00,0.00,attention mechanism,,2021,,,,,,,7
1,0.00,,,3,0.00,1.00,0.00,agent-based modeling,,2006,,,,,,,12
1,0.00,,,3,0.03,1.00,0.00,articulatory model,,2008,,,,,,,0
11,3.85,2014,2019,3,0.06,1.26,0.00,language modeling,,2014,,,,,,,2
3,0.00,,,3,0.01,1.00,0.00,large language models,,2023,,,,,,,5
3,0.00,,,3,0.02,1.00,0.00,machine reading comprehension,,2023,,,,,,,7
1,0.00,,,3,0.00,1.00,0.00,architectural reuse,,2006,,,,,,,12
4,0.00,,,3,0.08,1.00,0.00,adaptation models,,2022,,,,,,,4
10,0.00,,,3,0.01,1.00,0.00,deep neural networks,,2020,,,,,,,3
2,0.00,,,3,0.01,1.00,0.00,analytical models,,2023,,,,,,,3
8,0.00,,,3,0.05,1.00,0.00,prediction,,2022,,,,,,,7
1,0.00,,,3,0.00,1.00,0.00,comprehension,,2005,,,,,,,0
3,0.00,,,2,0.00,1.00,0.00,ensemble,,2023,,,,,,,5
1,0.00,,,2,0.00,1.00,0.00,computational linguistics,,2005,,,,,,,4
3,0.00,,,2,0.01,1.00,0.00,query,,2022,,,,,,,7
7,0.00,,,2,0.04,1.00,0.00,data mining,,2006,,,,,,,4
4,0.00,,,2,0.02,1.00,0.00,information retrieval,,2023,,,,,,,7
2,0.00,,,2,0.01,1.00,0.00,computer architecture,,2021,,,,,,,3
6,0.00,,,2,0.04,1.00,0.00,text,,2016,,,,,,,1
4,0.00,,,2,0.01,1.00,0.00,go,,2019,,,,,,,4
2,0.00,,,2,0.02,1.00,0.00,dynamics,,2011,,,,,,,0
4,0.00,,,2,0.01,1.00,0.00,sign language recognition,,2023,,,,,,,2
2,0.00,,,2,0.03,1.00,0.00,context,,2021,,,,,,,6
14,0.00,,,2,0.04,1.00,0.00,knowledge graph,,2021,,,,,,,9
2,0.00,,,2,0.00,1.00,0.00,generation,,2020,,,,,,,3
1,0.00,,,2,0.01,1.00,0.00,abductive reasoning,,2011,,,,,,,1
8,0.00,,,2,0.01,1.00,0.00,low-resource language,,2019,,,,,,,2
1,0.00,,,2,0.00,1.00,0.00,bayesian tracking,,2012,,,,,,,9
15,0.00,,,2,0.01,1.00,0.00,natural language generation,,2019,,,,,,,7
4,0.00,,,2,0.03,1.00,0.00,machine,,2018,,,,,,,4
12,0.00,,,2,0.00,1.00,0.00,data augmentation,,2021,,,,,,,2
2,0.00,,,2,0.01,1.00,0.00,answer set programming,,2007,,,,,,,1
21,0.00,,,2,0.01,1.00,0.00,feature extraction,,2020,,,,,,,3
2,0.00,,,2,0.00,1.00,0.00,fuzzy logic,,2008,,,,,,,0
1,0.00,,,2,0.00,1.00,0.00,accent identification,,2013,,,,,,,6
1,0.00,,,2,0.00,1.00,0.00,chinese input,,2005,,,,,,,4
1,0.00,,,2,0.00,1.00,0.00,chemical organization theory,,2009,,,,,,,1
11,0.00,,,2,0.00,1.00,0.00,neural machine translation,,2022,,,,,,,2
2,0.00,,,2,0.01,1.00,0.00,data analysis,,2021,,,,,,,3
2,0.00,,,2,0.04,1.00,0.00,architectures,,2009,,,,,,,10
1,0.00,,,2,0.03,1.00,0.00,action/activity recognition,,2011,,,,,,,0
3,0.00,,,2,0.02,1.00,0.00,arabic language,,2022,,,,,,,5
11,0.00,,,2,0.02,1.00,0.00,information extraction,,2014,,,,,,,8
2,0.00,,,2,0.02,1.00,0.00,knowledge representation,,2013,,,,,,,8
2,0.00,,,2,0.00,1.00,0.00,separation,,2017,,,,,,,0
5,0.00,,,2,0.00,1.00,0.00,natural language,,2023,,,,,,,5
2,0.00,,,2,0.01,1.00,0.00,discovery,,2017,,,,,,,9
8,4.73,2006,2013,2,0.01,1.04,0.00,semantic web,,2006,,,,,,,1
12,0.00,,,2,0.02,1.00,0.00,language models,,2021,,,,,,,6
